ID,Mass,R7S1,R7S2,R7S3,R7S4,R7S5,R7S6,R7S7,R7S8,R7S9,R7S10,R7S11,R7S12,R7S13,R7S14,R7S15,R8S1,R8S2,R8S3,R8S4,R8S5,R8S6,R8S7,R8S8,R8S9,R8S10,R8S11,R8S12,R8S13,R8S14,R8S15,R9S1,R9S2,R9S3,R9S4,R9S5,R9S6,R9S7,R9S8,R9S9,R9S10,R9S11,R9S12,R9S13,R9S14,R9S15
68,117.0194,0,0,2844633,4137992,3521655,4079521,3007848,0,3878832,4168215,0,0,0,3172825,3251785,4352794,3408341,3131582,3446853,5502801,0,0,3244945,4030122,4373682,2906538,3530476,0,2912952,4680753,3271483,3017293,0,3601571,3204852,2796549,0,4599949,4166774,0,3788942,0,4303725,4115225,2945726
79,124.9914,0,0,0,0,0,0,0,0,0,0,0,0,4102606,5503844,3718443,0,0,0,0,0,0,4373122,0,0,0,0,0,0,3112451,4255169,0,0,2643871,0,0,0,2799093,0,0,2948779,2749619,0,3762972,0,6021431
86,129.0193,10119232,16719351,16745281,11742144,14855390,21212614,15556445,6798845,12570347,15931846,0,0,4719184,16545722,16976160,12597047,19354010,13191728,5384613,15275006,2620373,17215206,11501657,13970165,14652803,12199161,13004977,10346606,4326301,16772575,14019294,18738126,14629369,18999596,12259721,19900754,7109573,16889696,14692276,10158378,10679984,3300534,15208039,8449536,7085633
93,131.035,4483381,6231285,7211346,4007638,7260088,7795889,7138419,0,7289784,5490869,0,0,3306413,8308938,8533493,5475323,6449732,4825669,2750918,8191686,0,7870463,4569752,7136274,5117782,4873694,5351078,3425952,0,6282957,5458139,7527580,7906099,7256592,5635441,6756975,3050191,7220789,5341276,3694726,3777341,0,7034070,3358170,2611106
95,133.0143,41393304,47714400,55981520,46920284,46185212,43549704,57123320,46137132,56100080,58909712,25094166,38583304,48003700,54507080,56681268,55595304,49288020,50703560,37189204,45923832,32865412,59225480,54235976,54702496,61240212,36871980,50615560,37495620,32368606,56419368,56042824,50075092,56710364,53375840,45075396,47214588,39107656,54158708,48528236,49101644,44999728,44276284,53876648,42962460,43534960
97,133.0506,3390129,8793724,5273069,4982134,8169751,4792101,6062612,5988168,4995849,4928810,4323378,4780833,6526607,7324773,5182543,7293763,8927087,5136868,4077681,8181778,5224606,6619811,5895013,6157242,4612781,4357192,6912801,3474912,3335160,4808770,5026913,9412590,7147002,7449978,6800863,7356951,4599139,6944654,7085444,6302055,6387271,8246358,4121280,3081784,5889673
99,135.0452,0,0,0,0,0,0,0,0,0,0,0,0,0,2946414,2909589,0,0,0,0,2747590,0,0,0,0,0,0,0,2808978,0,0,3594581,0,0,2590030,0,2959918,0,0,0,0,0,0,0,0,0
105,143.035,0,3153756,3062340,0,0,0,0,0,0,3311281,0,0,0,2741442,3700283,4009144,0,0,0,0,0,0,3043030,3518841,0,2736647,2833346,0,0,0,3286596,0,0,3540658,0,3023036,0,3538031,0,0,0,0,0,0,0
108,145.0143,5316095,5755416,5643290,11938004,5453215,10973519,7138949,4670497,7133997,9030492,3943629,9478992,6955819,5738141,8372167,4364072,6709899,5051184,8651012,5107208,6744902,6273574,3525607,6733931,11575287,6469152,8396912,8708766,4662507,9322853,5927684,5656606,6806141,7558731,4578532,8544420,4139352,7144952,7411329,6054400,5084765,9439815,13017341,11548345,6440777
122,147.0299,10447379,24033850,18202710,21873948,20700048,26549602,16086228,20312100,24556814,21206382,10291997,16794364,20790048,28295392,24914872,14650621,23345722,14022516,16976208,17925598,21105976,18362488,20268894,23325896,19370972,16592927,22820484,13539086,17406188,24741234,17059626,24815102,16828670,22443082,14522607,25973492,10978953,25298406,20746792,16709622,17707478,22479990,21644370,23123624,18164548
124,147.0663,0,2796129,0,0,0,0,0,0,3112498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2764272,0,0,0,0,2734609,0,0,0,2718247,0,0,0,0,0,0,0,0,0,0,0,0
132,149.0456,6558815,9353877,10416331,5793693,9191355,11383217,10064222,5479009,8058150,8216507,3085732,0,4139341,8703324,8766437,8052491,11130404,6610417,3424466,9957867,0,9284868,5954062,7851361,7908857,7361623,7256785,5221304,4260900,8736185,6668682,9163289,10146235,10498177,5948726,9865085,4169202,8952334,8300040,6641701,5495688,0,8418270,5051601,3999607
144,154.9986,0,0,2631594,0,0,3236404,3837068,0,0,2762927,0,0,0,2854749,0,2682829,0,2620905,0,2875554,0,3206712,0,0,0,0,3548989,0,0,0,0,2631417,0,2635446,0,2779292,0,0,0,0,3335720,0,3535647,0,0
151,157.0142,0,3043840,0,0,2676346,2828301,2913435,0,3360419,3891200,0,0,0,3403356,2677690,0,0,0,0,0,0,4209224,0,2904033,3652477,0,0,0,0,3204573,0,3640728,3405241,2956400,0,3294625,0,3046095,4028065,2655865,0,0,0,2842498,0
152,157.0506,4525752,4591913,5311939,5601487,2898338,6676534,6899909,3036825,4759755,6712873,0,2648466,0,5750406,6861283,4475531,5892372,5210380,3271145,4399449,0,6703218,3849170,6702348,6999461,4630633,6030640,5454724,2673955,4906502,6356543,6519744,6696420,7175832,3700629,5790411,3146675,4423159,4452552,5146658,0,0,7564124,4084395,3123579
158,159.0299,23308638,38927836,38390924,25436586,40298036,42428656,36895156,13757247,32945996,38914264,5288887,3840466,9908682,39677280,41662076,28783366,41341804,30690272,10856884,40642508,6325146,40422752,24247494,39795212,34833956,30722816,32176600,21509250,10786737,38152364,31492864,41797696,40128256,44402484,29038662,45203372,19612272,40032396,34800400,21286584,23247256,5817419,36438876,17285430,13440528
163,161.0456,20750890,32290486,36414844,22878890,27619050,35418580,32187082,28466192,30998520,30409138,17586354,19962936,28233346,34948708,28323650,31443882,35462128,32273626,22593186,27471972,23242810,34154104,33564124,30925622,27909836,23223232,27161254,21005734,20356194,29163896,34591720,34783468,38918208,34594804,20877600,33626288,25650000,29139272,27032454,32640888,31574486,24418598,24431494,21582314,29474508
166,163.0248,0,3036505,3538483,0,2915186,0,0,0,0,3395162,0,0,0,3793715,2880984,2933023,3151434,3017373,0,0,0,0,0,0,0,2807371,0,0,0,0,0,2829413,3657800,0,0,3011967,0,0,0,2778886,0,0,3259784,0,0
168,163.0401,21134034,25286506,27926084,30542726,30013314,28334746,28916668,21208254,28588162,31193706,8982916,9697404,17352472,29953860,34183144,28300336,30631002,25275822,17067876,28084446,13476022,31928168,25157314,28036158,28202836,23495772,24189776,18370208,12951792,31291938,32398506,30284150,30171482,29870228,26196442,28352912,20538376,30743016,25428956,24903702,29725176,13285848,26555288,24427132,22337384
173,165.0405,0,0,6481658,6256720,6043662,7411541,6349472,0,5703939,0,4253250,4629171,5326755,6126101,6988935,4746924,6905019,5206640,4593679,7025995,5681440,6309964,4508049,0,0,0,0,4494214,0,7739070,6517089,5775860,5923427,6799655,4805770,6870621,4678318,7604861,5891113,0,6890002,5411448,7155621,0,5105141
177,169.0142,5087759,7014602,7798742,8193367,8664235,9105490,7611874,4599861,9040271,8361966,0,0,4388921,9833772,9796944,6545205,7603476,6847333,3555785,7417261,0,8820106,7011465,7571112,7021639,6808967,8210584,5154491,4074970,10387315,9431624,8383099,7824357,7854543,7063410,9023333,5076329,9172787,6259797,5907800,7724504,3438373,9508706,5801874,5162641
178,169.1234,0,0,0,0,0,0,0,0,0,2713698,0,0,0,0,2950852,0,2906501,0,0,0,0,3046145,0,0,3452344,0,2713355,0,0,0,0,2784493,2758493,0,0,2968539,0,3598759,0,0,0,0,3312591,0,0
